=== sequential health latency ===
1,0.009339
2,0.001132
3,0.000802
4,0.000592
5,0.000666
6,0.000556
7,0.000527
8,0.000502
9,0.000510
10,0.000513
11,0.000625
12,0.000767
13,0.000790
14,0.000822
15,0.000512
16,0.000455
17,0.000494
18,0.000399
19,0.000392
20,0.000429
21,0.000426
22,0.000413
23,0.000383
24,0.001032
25,0.000492
26,0.000363
27,0.000457
28,0.000451
29,0.000470
30,0.000463
31,0.000466
32,0.000568
33,0.000477
34,0.000493
35,0.000451
36,0.000435
37,0.000426
38,0.000347
39,0.000437
40,0.000400
